POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,URL_ID
0.137,0.031,0.6309486253058018,0.019363762102351315,36.1,16.20498614958449,20.921994459833797,36.1,117,722,1.5332409972299168,11,4.96398891966759,bctech2049
0.111,0.013,0.790316207127362,0.010398613518197574,38.4,17.881944444444446,22.51277777777778,38.4,103,576,1.5833333333333333,4,5.163194444444445,bctech2050
0.082,0.008,0.822213086521261,0.006279434850863423,45.42857142857143,18.238993710691823,25.467026055705304,45.42857142857143,116,636,1.5849056603773586,4,5.19811320754717,bctech2051
0.127,0.01,0.8540083649024459,0.011214953271028037,33.375,17.228464419475657,20.241385767790263,33.375,92,534,1.5112359550561798,6,4.9588014981273405,bctech2052
0.115,0.009,0.8548318158724527,0.02,37.4375,17.195325542570952,21.853130217028383,37.4375,103,599,1.5308848080133557,11,5.373956594323873,bctech2053
0.087,0.015,0.705875432593798,0.032305433186490456,24.285714285714285,15.0,15.714285714285715,24.285714285714285,102,680,1.4676470588235293,18,4.723529411764706,bctech2054
0.102,0.021,0.6585312314534028,0.013736263736263736,23.451612903225808,17.744154057771663,16.478306784398992,23.451612903225808,129,727,1.484181568088033,8,4.818431911966988,bctech2055
0.103,0.012,0.7912974669785481,0.008902077151335312,24.703703703703702,19.490254872563717,17.677583430506967,24.703703703703702,130,667,1.5892053973013494,6,5.134932533733133,bctech2056
0.117,0.01,0.8425130510783381,0.0055762081784386614,38.357142857142854,18.24953445065177,22.64267092311785,38.357142857142854,98,537,1.5642458100558658,3,5.184357541899441,bctech2057
0.12,0.013,0.8045052292839903,0.007444168734491315,57.42857142857143,20.149253731343283,31.031130063965886,57.42857142857143,81,402,1.5970149253731343,3,5.3606965174129355,bctech2058
0.139,0.027,0.674694730754634,0.0103359173126615,38.6,20.984455958549223,23.833782383419692,38.6,81,386,1.645077720207254,4,5.512953367875648,bctech2059
0.141,0.013,0.8311634340036751,0.007425742574257425,44.666666666666664,20.8955223880597,26.224875621890547,44.666666666666664,84,402,1.609452736318408,3,5.208955223880597,bctech2060
0.124,0.014,0.7970956732197592,0.005780346820809248,39.84615384615385,21.235521235521233,24.432670032670032,39.84615384615385,110,518,1.55019305019305,3,5.167953667953668,bctech2061
0.124,0.011,0.8370308368086162,0.01948051948051948,32.36842105263158,16.910569105691057,19.711596063329058,32.36842105263158,104,615,1.497560975609756,12,4.848780487804878,bctech2062
0.13,0.013,0.8181760966706526,0.007352941176470588,37.0,19.656019656019655,22.66240786240786,37.0,80,407,1.574938574938575,3,5.223587223587224,bctech2063
0.114,0.008,0.8688453373333006,0.015174506828528073,26.32,18.237082066869302,17.82283282674772,26.32,120,658,1.553191489361702,10,5.085106382978723,bctech2064
0.105,0.014,0.7646994563070899,0.008438818565400843,39.44444444444444,19.154929577464788,23.43974960876369,39.44444444444444,136,710,1.5154929577464789,4,4.964788732394366,bctech2065
0.149,0.015,0.8170681886086062,0.010080645161290322,41.25,19.7979797979798,24.41919191919192,41.25,98,495,1.6020202020202021,3,5.183838383838384,bctech2066
0.106,0.011,0.811958872146392,0.023391812865497075,35.94736842105263,16.691068814055637,21.05537489404331,35.94736842105263,114,683,1.5109809663250366,13,4.961932650073207,bctech2067
0.118,0.018,0.7352887111124183,0.017069701280227598,26.0,18.091168091168093,17.636467236467237,26.0,127,702,1.5427350427350428,11,5.042735042735043,bctech2068
0.122,0.017,0.7553902489910144,0.006535947712418301,30.533333333333335,18.995633187772924,19.811586608442504,30.533333333333335,87,458,1.6048034934497817,3,5.2663755458515285,bctech2069
0.149,0.013,0.8395009907346249,0.010582010582010581,37.7,19.893899204244033,23.037559681697616,37.7,75,377,1.6127320954907163,4,5.267904509283819,bctech2070
0.137,0.045,0.5054917280674283,0.01,39.9,20.551378446115287,24.180551378446115,39.9,82,399,1.6340852130325814,3,5.283208020050125,bctech2071
0.148,0.032,0.644440864217421,0.011876484560570071,35.0,20.476190476190474,22.19047619047619,35.0,86,420,1.630952380952381,5,5.2595238095238095,bctech2072
0.145,0.013,0.8354377503939847,0.010526315789473684,37.9,20.844327176781004,23.497730870712402,37.9,79,379,1.646437994722955,4,5.430079155672823,bctech2073
0.109,0.027,0.6029367431121829,0.01312910284463895,28.5,20.394736842105264,19.557894736842105,28.5,93,456,1.655701754385965,6,5.348684210526316,bctech2074
0.125,0.008,0.8796926338899707,0.01607717041800643,28.227272727272727,15.297906602254429,17.410071731810863,28.227272727272727,95,621,1.4943639291465378,10,5.020933977455717,bctech2075
0.101,0.012,0.7876036495252255,0.02844311377245509,27.791666666666668,18.89055472263868,18.67288855572214,27.791666666666668,126,667,1.5637181409295353,14,5.233883058470765,bctech2076
0.084,0.01,0.7872256678120446,0.02127659574468085,31.285714285714285,15.37290715372907,18.66344857577734,31.285714285714285,101,657,1.5585996955859969,12,5.073059360730594,bctech2077
0.121,0.028,0.6241568848531218,0.019329896907216496,26.724137931034484,15.225806451612902,16.779977753058954,26.724137931034484,118,775,1.513548387096774,13,4.859354838709677,bctech2078
0.107,0.008,0.8608620794601787,0.028875379939209727,28.565217391304348,15.67732115677321,17.697015419231025,28.565217391304348,103,657,1.5509893455098935,16,5.205479452054795,bctech2079
0.126,0.017,0.7622324319410353,0.019064124783362217,36.0,19.791666666666664,22.316666666666666,36.0,114,576,1.6024305555555556,8,5.263888888888889,bctech2080
0.117,0.01,0.8425130510783381,0.008538899430740038,27.605263157894736,21.448999046711155,19.62170488184236,27.605263157894736,225,1049,1.636796949475691,8,5.294566253574833,bctech2081
0.095,0.015,0.7272661157625839,0.009380863039399626,59.111111111111114,18.23308270676692,30.937677527151216,59.111111111111114,97,532,1.5469924812030076,4,5.0018796992481205,bctech2082
0.121,0.02,0.7163069765462656,0.004622496147919877,32.4,18.98148148148148,20.552592592592593,32.4,123,648,1.5601851851851851,3,5.060185185185185,bctech2083
0.12,0.022,0.6901359849578524,0.008522727272727272,58.5,20.7977207977208,31.71908831908832,58.5,73,351,1.6296296296296295,3,5.2250712250712255,bctech2084
0.094,0.027,0.5537144321121313,0.01129032258064516,34.388888888888886,19.063004846526656,21.380757494166218,34.388888888888886,118,619,1.5896607431340872,3,5.0420032310177705,bctech2085
0.118,0.009,0.8582609585751293,0.014842300556586271,33.625,19.702602230483272,21.33104089219331,33.625,106,538,1.6338289962825279,7,5.213754646840148,bctech2086
0.111,0.013,0.790316207127362,0.010282776349614395,48.5,21.90721649484536,28.162886597938144,48.5,85,388,1.6778350515463918,4,5.430412371134021,bctech2087
0.11,0.026,0.6176425173344313,0.015873015873015872,33.84615384615385,21.363636363636363,22.083916083916087,33.84615384615385,94,440,1.6977272727272728,7,5.372727272727273,bctech2088
0.072,0.007,0.8227743952608193,0.024253731343283583,33.4375,15.14018691588785,19.43107476635514,33.4375,81,535,1.519626168224299,13,4.960747663551402,bctech2089
0.082,0.009,0.8021889869342096,0.003436426116838488,52.81818181818182,18.244406196213426,28.4250352057581,52.81818181818182,106,581,1.5748709122203097,2,5.251290877796902,bctech2090
0.135,0.019,0.7532418620658308,0.005797101449275362,49.142857142857146,23.25581395348837,28.959468438538206,49.142857142857146,80,344,1.7122093023255813,2,5.438953488372093,bctech2091
0.084,0.008,0.8260779774132891,0.006423982869379015,58.25,19.742489270386265,31.19699570815451,58.25,92,466,1.645922746781116,3,5.293991416309013,bctech2092
0.105,0.033,0.5217353497438424,0.0053475935828877,26.571428571428573,18.817204301075268,18.155453149001538,26.571428571428573,105,558,1.5949820788530467,3,5.240143369175628,bctech2093
0.13,0.013,0.8181760966706526,0.003424657534246575,32.388888888888886,16.80960548885077,19.679397751095863,32.388888888888886,98,583,1.5248713550600344,2,5.1183533447684395,bctech2094
0.12,0.01,0.8461473373281744,0.004024144869215292,41.333333333333336,19.35483870967742,24.275268817204303,41.333333333333336,96,496,1.622983870967742,2,5.274193548387097,bctech2095
